model,stage,source_log,absolute_epoch,relative_epoch,loss,ce,smooth,contrast,action_aux,rollout
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,0.0,0.0,4.2492,4.1588,0.0,0.0,0.0,4.5199
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,1.0,1.0,4.2151,4.1165,0.0,0.0,0.0,4.4832
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,2.0,2.0,4.1911,4.0844,0.0,0.0,0.0,4.4454
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,3.0,3.0,4.2267,4.1102,0.0,0.0,0.0,4.4834
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,4.0,4.0,4.2482,4.1225,0.0,0.0,0.0,4.486
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,5.0,5.0,4.2424,4.108,0.0,0.0,0.0,4.4771
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,6.0,6.0,4.2237,4.0811,0.0,0.0,0.0,4.4541
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,7.0,7.0,4.2432,4.0921,0.0,0.0,0.0,4.4445
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,8.0,8.0,4.2105,4.0512,0.0,0.0,0.0,4.4259
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,9.0,9.0,4.1923,4.0252,0.0,0.0,0.0,4.3985
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,10.0,10.0,4.2089,4.0327,0.0,0.0,0.0,4.4052
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,11.0,11.0,4.2628,4.0767,0.0,0.0,0.0,4.4304
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,12.0,12.0,4.1837,3.9917,0.0,0.0,0.0,4.3628
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,13.0,13.0,4.1992,3.9983,0.0,0.0,0.0,4.3672
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,14.0,14.0,4.27,4.0577,0.0,0.0,0.0,4.4224
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,15.0,15.0,4.2609,4.0406,0.0,0.0,0.0,4.4056
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,16.0,16.0,4.2388,4.02,0.0,0.0,0.0,4.3765
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,17.0,17.0,4.2533,4.0336,0.0,0.0,0.0,4.394
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,18.0,18.0,4.2504,4.0307,0.0,0.0,0.0,4.3939
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,19.0,19.0,4.2468,4.0276,0.0,0.0,0.0,4.3824
